from,stationlat,stationlong
Russian Gulch,38.466168,-123.156757
Navarro River,39.18,-123.754
Shell Beach,38.72461,-123.47869
Pebble Beach,38.699036,-123.441299
Big River,39.297,-123.796
Noyo Bay,39.427,-123.81
Van Damme,39.268,-123.788
Arena Cove,38.907,-123.706
Timber Cove,38.532597,-123.273909
